Date,  AOR  ,SCHG.K  ,  QQQ.O  ,  ACWI.O  ,  ESGU.O  ,  CRBN.K  ,  ESGG.K  ,  AAPL.O  ,  MSFT.O  ,  JNJ  ,  PG  ,  V  ,  MA  ,  GOOG.O  ,  META.O  ,  TSLA.O  ,  AMZN.O  ,  UL  ,  JPM  ,  ADBE.O  ,  MRK  ,  PG  ,CL =F, 6E=F , 6B=F , TYX , TNX , FVX 
6/1/2018,0.01,0.005,0.01,0.21,0.03,0.74,0.015,0.24,0.01,0.045,0.01,0.21,0.03,0.74,0.24,0.02,0.025,0.01,0.01,0.065,0.02,0.01,0.065,0.01,0.005,0.01,0.005,0.005
6/4/2018,0.005,0.01,0.01,0.045,0.025,0.445,0.04,0.34,0.01,0.02,0.01,0.045,0.025,0.445,0.34,0.03,0.06,0.005,0.005,0.1,0.01,0.01,0.1,0.005,0.005,0.01,0.005,0.02
6/5/2018,0.005,0.005,0.01,0.055,0.08,0.555,0.005,0.355,0.005,0.035,0.01,0.055,0.08,0.555,0.355,0.01,0.035,0.025,0.005,0.075,0.01,0.01,0.075,0.005,0.005,0.01,0.01,0.005
6/6/2018,0.005,0.01,0.005,0.085,0.045,0.645,0.02,0.325,0.015,0.03,0.005,0.085,0.045,0.645,0.325,0.01,0.03,0.015,0.005,0.065,0.015,0.005,0.065,0.005,0.005,0.005,0.025,0.005
6/7/2018,0.005,0.005,0.01,0.105,0.075,0.81,0.025,0.305,0.005,0.055,0.01,0.105,0.075,0.81,0.305,0.025,0.01,0.03,0.005,0.07,0.01,0.005,0.07,0.005,0.005,0.005,0.005,0.025
6/8/2018,0.005,0.005,0.005,0.06,0.11,0.49,0.02,0.325,0.01,0.155,0.005,0.06,0.11,0.49,0.325,0.015,0.045,0.015,0.005,0.08,0.02,0.005,0.08,0.005,0.005,0.005,0.005,0.005
6/11/2018,0.005,0.005,0.01,0.085,0.135,0.565,0.005,0.3,0.005,0.1,0.01,0.085,0.135,0.565,0.3,0.01,0.015,0.02,0.005,0.015,0.01,0.005,0.015,0.005,0.01,0.005,0.01,0.005
6/12/2018,0.01,0.005,0.01,0.06,0.125,0.685,0.015,0.33,0.005,0.1,0.01,0.06,0.125,0.685,0.33,0.01,0.035,0.02,0.005,0.135,0.005,0.01,0.135,0.005,0.005,0.01,0.01,0.01
6/13/2018,0.005,0.01,0.01,0.09,0.03,0.37,0.03,0.33,0.005,0.12,0.01,0.09,0.03,0.37,0.33,0.01,0.035,0.01,0.01,0.065,0.005,0.01,0.065,0.005,0.005,0.01,0.005,0.005
6/14/2018,0.005,0.005,0.005,0.055,0.09,0.4,0.015,0.34,0.01,0.045,0.005,0.055,0.09,0.4,0.34,0.01,0.015,0.005,0.02,0.055,0.01,0.005,0.055,0.005,0.005,0.005,0.015,0.005
