Date,Adj Close**,SPRTRN,RF
1-Jun-18,"2,734.62",0.004469595,2.9
4-Jun-18,"2,746.87",0.000702371,2.94
5-Jun-18,"2,748.80",0.008530883,2.92
6-Jun-18,"2,772.35",-0.000714451,2.98
7-Jun-18,"2,770.37",0.003121061,2.93
8-Jun-18,"2,779.03",0.001068148,2.94
11-Jun-18,"2,782.00",0.001741832,2.96
12-Jun-18,"2,786.85",-0.004034177,2.96
13-Jun-18,"2,775.63",0.002468462,2.98
14-Jun-18,"2,782.49",-0.001017592,2.95
15-Jun-18,"2,779.66",-0.002128423,2.92
18-Jun-18,"2,773.75",-0.00403155,2.93
19-Jun-18,"2,762.59",0.001710697,2.89
20-Jun-18,"2,767.32",-0.006365708,2.93
21-Jun-18,"2,749.76",0.001860249,2.9
22-Jun-18,"2,754.88",-0.013819791,2.9
25-Jun-18,"2,717.07",0.002202154,2.88
26-Jun-18,"2,723.06",-0.008641521,2.88
27-Jun-18,"2,699.63",0.006159615,2.83
28-Jun-18,"2,716.31",0.000758094,2.85
29-Jun-18,"2,718.37",0.003063318,2.85
2-Jul-18,"2,726.71",-0.004959633,2.87
3-Jul-18,"2,713.22",0.008583807,2.84
5-Jul-18,"2,736.61",0.008445532,2.84
6-Jul-18,"2,759.82",0.008784344,2.83
9-Jul-18,"2,784.17",0.00346719,2.86
10-Jul-18,"2,793.84",-0.007119462,2.87
11-Jul-18,"2,774.02",0.008710985,2.84
12-Jul-18,"2,798.29",0.001078649,2.85
13-Jul-18,"2,801.31",-0.001028619,2.83
16-Jul-18,"2,798.43",0.003965783,2.86
17-Jul-18,"2,809.55",0.002158158,2.86
18-Jul-18,"2,815.62",-0.003960782,2.88
19-Jul-18,"2,804.49",-0.000948929,2.85
20-Jul-18,"2,801.83",0.001836397,2.9
23-Jul-18,"2,806.98",0.004769547,2.97
24-Jul-18,"2,820.40",0.009060376,2.95
25-Jul-18,"2,846.07",-0.003036858,2.94
26-Jul-18,"2,837.44",-0.00658388,2.98
27-Jul-18,"2,818.82",-0.0057708,2.96
30-Jul-18,"2,802.60",0.004872858,2.98
31-Jul-18,"2,816.29",-0.001040917,2.96
1-Aug-18,"2,813.36",0.004914398,3
2-Aug-18,"2,827.22",0.004633387,2.99
3-Aug-18,"2,840.35",0.003532051,2.95
6-Aug-18,"2,850.40",0.002820185,2.94
7-Aug-18,"2,858.45",-0.000262414,2.97
8-Aug-18,"2,857.70",-0.001442759,2.97
9-Aug-18,"2,853.58",-0.007139295,2.94
10-Aug-18,"2,833.28",-0.004014003,2.86
13-Aug-18,"2,821.93",0.00636892,2.88
14-Aug-18,"2,839.96",-0.007631264,2.9
15-Aug-18,"2,818.37",0.007888277,2.85
16-Aug-18,"2,840.69",0.003317627,2.87
17-Aug-18,"2,850.13",0.002425017,2.87
20-Aug-18,"2,857.05",0.002066431,2.82
21-Aug-18,"2,862.96",-0.000398269,2.84
22-Aug-18,"2,861.82",-0.001692663,2.82
23-Aug-18,"2,856.98",0.006179719,2.82
24-Aug-18,"2,874.69",0.007641124,2.83
27-Aug-18,"2,896.74",0.000269232,2.85
28-Aug-18,"2,897.52",0.005685236,2.88
29-Aug-18,"2,914.04",-0.004440118,2.88
30-Aug-18,"2,901.13",0.000134421,2.86
31-Aug-18,"2,901.52",-0.001655675,2.85
4-Sep-18,"2,896.72",-0.002807107,2.9
5-Sep-18,"2,888.60",-0.003658974,2.9
6-Sep-18,"2,878.05",-0.002215757,2.88
7-Sep-18,"2,871.68",0.001896045,2.94
10-Sep-18,"2,877.13",0.003732862,2.94
11-Sep-18,"2,887.89",0.000356598,2.98
12-Sep-18,"2,888.92",0.005268349,2.96
13-Sep-18,"2,904.18",0.000275427,2.96
14-Sep-18,"2,904.98",-0.005585315,2.99
17-Sep-18,"2,888.80",0.00535465,3
18-Sep-18,"2,904.31",0.001252525,3.05
19-Sep-18,"2,907.95",0.007809997,3.08
20-Sep-18,"2,930.75",-0.000368574,3.08
21-Sep-18,"2,929.67",-0.003521949,3.07
24-Sep-18,"2,919.37",-0.001305928,3.08
25-Sep-18,"2,915.56",-0.00329467,3.1
26-Sep-18,"2,905.97",0.002759466,3.06
27-Sep-18,"2,914.00",-6.86344E-06,3.06
28-Sep-18,"2,913.98",0.003634456,3.06
1-Oct-18,"2,924.59",-0.000396715,3.08
2-Oct-18,"2,923.43",0.00071124,3.06
3-Oct-18,"2,925.51",-0.008203069,3.16
4-Oct-18,"2,901.61",-0.005543301,3.2
5-Oct-18,"2,885.57",-0.000395147,3.23
8-Oct-18,"2,884.43",-0.001418964,3.23
9-Oct-18,"2,880.34",-0.033416334,3.21
10-Oct-18,"2,785.68",-0.020787647,3.23
11-Oct-18,"2,728.37",0.014106321,3.13
12-Oct-18,"2,767.13",-0.005922539,3.14
15-Oct-18,"2,750.79",0.02126787,3.16
16-Oct-18,"2,809.92",-0.000252708,3.16
17-Oct-18,"2,809.21",-0.014496515,3.18
18-Oct-18,"2,768.78",-0.000361235,3.18
19-Oct-18,"2,767.78",-0.004308744,3.2
22-Oct-18,"2,755.88",-0.005527097,3.2
23-Oct-18,"2,740.69",-0.031350832,3.17
24-Oct-18,"2,656.10",0.018453729,3.12
25-Oct-18,"2,705.57",-0.017479091,3.14
26-Oct-18,"2,658.69",-0.00658123,3.08
29-Oct-18,"2,641.25",0.015545367,3.09
30-Oct-18,"2,682.63",0.010792839,3.11
31-Oct-18,"2,711.74",0.010502453,3.16
1-Nov-18,"2,740.37",-0.0063367,3.14
2-Nov-18,"2,723.06",0.005584694,3.21
5-Nov-18,"2,738.31",0.006239827,3.2
6-Nov-18,"2,755.45",0.020987099,3.21
7-Nov-18,"2,813.89",-0.002512135,3.21
8-Nov-18,"2,806.83",-0.009241562,3.23
9-Nov-18,"2,781.01",-0.019898137,3.19
12-Nov-18,"2,726.22",-0.001483004,3.19
13-Nov-18,"2,722.18",-0.007596243,3.15
14-Nov-18,"2,701.58",0.01053808,3.12
15-Nov-18,"2,730.20",0.002220813,3.12
16-Nov-18,"2,736.27",-0.016783147,3.07
19-Nov-18,"2,690.73",-0.018317962,3.06
