Date,  AOR  ,  SCHG.K  ,  QQQ.O  ,  ACWI.O  ,  ESGU.O  ,  CRBN.K  ,  ESGG.K  ,  AAPL.O  ,  MSFT.O  ,  JNJ  ,  PG  ,  V  ,  MA  ,  GOOG.O  ,  META.O  ,  TSLA.O  ,  AMZN.O  ,  UL  ,  JPM  ,  ADBE.O  ,  MRK  ,  PG  ,CL =F, 6E=F , 6B=F , TYX , TNX , FVX 
6/1/2018,44.8,37.96,172.74,73.08,59.9,118.56,87.55,47.56,100.79,121.26,73.45,130.85,195.37,55.98,193.99,19.45,82.08,55.37,108.4,251.31,57.75,73.45,65.81,1.17,1.34,3.05,2.9,2.74
6/4/2018,44.91,38.22,174.3,73.51,60.23,119.22,87.91,47.96,101.67,121.95,74.18,133.07,197.73,56.96,193.28,19.78,83.26,55.63,108.45,253.34,59.14,74.18,64.75,1.17,1.33,3.08,2.94,2.79
6/5/2018,44.91,38.3,174.84,73.43,60.25,119.09,87.89,48.33,102.19,121.48,73.97,133.56,199.36,56.98,192.94,19.41,84.82,55.73,107.84,252.7,58.54,73.97,65.52,1.17,1.34,3.08,2.92,2.76
6/6/2018,45.11,38.66,175.86,74.13,60.69,119.81,88.61,48.5,102.49,122.79,74.35,136.28,203.21,56.84,191.34,21.3,84.79,55.19,110.36,253.95,59.05,74.35,64.73,1.18,1.34,3.13,2.98,2.81
6/7/2018,44.98,38.52,174.43,73.8,60.72,119.57,88.35,48.37,100.88,123.33,75.76,133.84,199.54,56.19,188.18,21.07,84.47,54.9,110.8,247.51,59.11,75.76,65.95,1.18,1.34,3.08,2.93,2.78
6/8/2018,45.05,38.64,174.44,73.95,60.91,119.91,88.46,47.93,101.63,124.06,77.18,134.74,200.04,56.04,189.1,21.18,84.2,55.46,111.11,251.21,59.67,77.18,65.74,1.18,1.34,3.08,2.94,2.78
6/11/2018,45.06,38.74,174.91,74.19,61.11,120.16,88.8,47.81,101.05,122.66,77.53,133.91,198.49,56.5,191.54,22.14,84.46,55.63,110.83,251,59.43,77.53,66.1,1.18,1.34,3.1,2.96,2.8
6/12/2018,45.01,38.9,175.83,74.09,61.04,120.14,88.7,48.07,101.31,122.54,77.24,134.86,200.13,56.97,192.4,22.85,84.94,55.77,110.19,252.59,59.54,77.24,66.36,1.18,1.34,3.09,2.96,2.81
6/13/2018,45.02,38.77,175.82,73.94,61.04,119.75,88.5,47.68,100.85,122.63,76.47,134.4,199.41,56.74,192.41,22.99,85.24,55.23,109.97,256.13,59.68,76.47,66.64,1.18,1.34,3.1,2.98,2.84
6/14/2018,45.05,39.02,177.6,73.92,61.06,119.76,88.48,47.7,101.42,122.41,75.99,135,199.31,57.61,196.81,23.85,86.19,53.63,108.03,258.1,58.7,75.99,66.89,1.16,1.33,3.07,2.95,2.82
